"U2.2502.1","U2.2502.2","U2.2502.3","U2.2502.4","U6.2502.1","U6.2502.2","U6.2502.3","U6.2502.4","U2.0302.1","U2.0302.2","U2.0302.3","U6.0302.1","U6.0302.2","U6.0302.3","gene","U600","U200","LogFC","p.value","adjp","AvgExpr"
7,8,5,6,10,6,6,5,5,5,5,5,2,3,"YOR117W",5.3,5.9,-0.1991,0.3739,0.6556,6.5
5,4,4,5,7,5,6,9,1,1,2,1,0,1,"YDR171W",4.1,3.1,0.3424,0.2141,0.5313,4.5
5,3,4,4,9,7,7,10,1,1,1,3,5,7,"sp|P02753|RETBP_HUMAN",6.9,2.7,1.285,0.0003381,0.005159,4
6,5,8,7,7,7,5,5,3,0,1,2,1,1,"YEL039C",4,4.3,-0.1552,0.5699,0.7883,6.5
4,6,5,9,7,8,6,6,4,3,5,2,2,3,"YOR007C",4.9,5.1,-0.1347,0.5732,0.7896,6
6,7,7,6,8,6,6,5,4,1,3,2,2,1,"YNL118C",4.3,4.9,-0.2346,0.2886,0.5814,6.5
7,7,7,5,7,4,7,5,11,8,7,8,8,10,"YMR307W",7,7.4,-0.1319,0.4021,0.6704,6.5
7,7,4,6,5,7,6,5,10,11,9,14,12,12,"YBR249C",8.7,7.7,0.1316,0.3238,0.6088,6
5,8,4,7,4,6,7,4,2,4,4,4,3,3,"YDL099W",4.4,4.9,-0.1846,0.4107,0.6788,6
6,8,7,4,6,5,4,3,2,3,2,2,2,3,"YDL136W (+1)",3.6,4.6,-0.4091,0.06961,0.2909,6.25
9,7,7,5,6,7,3,4,6,9,9,7,8,5,"YNL074C",5.7,7.4,-0.4256,0.04962,0.2326,7
6,7,4,6,8,7,5,3,2,2,2,1,2,2,"YAR014C",4,4.1,-0.1049,0.6486,0.8324,5.75
4,5,6,5,7,5,7,6,4,4,3,1,3,3,"YBR078W",4.6,4.4,-0.006107,0.9763,0.9845,5
5,7,7,7,4,7,4,5,1,1,2,2,3,2,"YGR193C",3.9,4.3,-0.2062,0.3823,0.6633,6.5
8,5,6,6,6,4,8,5,7,5,4,2,4,3,"YMR205C",4.6,5.9,-0.408,0.1047,0.3666,6.25
6,5,6,6,6,6,6,6,3,6,3,6,4,4,"YER120W",5.4,5,0.0685,0.6504,0.833,5.75
7,6,6,7,7,5,4,6,4,1,1,2,0,0,"YHL007C",3.4,4.6,-0.4705,0.1987,0.5108,6.5
4,4,4,4,5,4,8,4,3,3,2,3,2,3,"YLR048W",4.1,3.4,0.2215,0.3003,0.5943,4
7,7,6,5,6,6,5,5,6,9,7,6,8,9,"YDL053C",6.4,6.7,-0.1095,0.4035,0.6708,6.25
6,6,4,6,5,7,6,5,3,3,3,3,3,3,"YFL037W",4.6,4.4,-0.006107,0.9581,0.9844,5.5
6,7,5,4,8,5,5,4,3,2,3,1,1,2,"YFR044C",3.7,4.3,-0.2602,0.2946,0.5896,5.5
3,6,7,7,4,7,4,7,5,4,3,2,6,2,"YNL166C",4.6,5,-0.1801,0.5464,0.7604,5.75
5,6,6,5,4,4,8,7,4,5,5,1,4,4,"YOL070C",4.6,5.1,-0.2205,0.3872,0.6633,5.5
5,5,6,6,6,5,4,5,2,3,2,0,0,1,"YJR091C",3,4.1,-0.5207,0.08372,0.3263,5.5
8,7,4,4,6,5,5,6,3,3,3,2,2,2,"YFR024C-A",4,4.6,-0.2455,0.1997,0.5108,5.75
7,6,6,6,6,6,4,6,7,6,6,5,5,5,"YDR533C",5.3,6.3,-0.2985,0.006077,0.06215,6.25
8,4,5,5,5,4,5,5,5,3,4,3,3,1,"YMR260C",3.7,4.9,-0.4382,0.07335,0.3001,5.5
8,5,7,6,5,5,6,5,9,5,6,6,6,6,"YGR279C",5.6,6.6,-0.286,0.08068,0.3188,6.5
4,5,7,5,6,4,5,6,4,4,5,5,2,3,"YBR108W",4.4,4.9,-0.1835,0.3427,0.6312,5.25
4,6,7,7,5,6,6,2,3,0,2,1,1,0,"YBR111C",3,4.1,-0.5212,0.1689,0.4693,6
6,6,7,5,5,5,5,6,5,3,4,4,3,6,"YOR369C",4.9,5.1,-0.1326,0.4158,0.6788,6
4,4,5,6,3,7,4,3,3,2,2,2,1,0,"YGL234W",2.9,3.7,-0.4321,0.197,0.5108,4.75
1,3,4,4,7,6,7,8,1,2,2,7,7,5,"sp|P01579|IFNG_HUMAN",6.7,2.4,1.417,8.165e-05,0.001901,3
2,4,2,2,10,8,7,3,2,0,0,2,1,0,"sp|P01127|PDGFB_HUMAN",4.4,1.7,1.313,0.02295,0.149,2.5
6,4,5,5,7,6,3,6,6,4,4,3,2,2,"YGR009C",4.1,4.9,-0.2802,0.2813,0.5797,5
7,5,8,5,5,4,2,7,5,3,4,4,2,3,"YGR027C (+1)",3.9,5.3,-0.5054,0.0641,0.2809,6.25
9,6,3,6,4,4,6,5,6,4,4,4,2,3,"YPL237W",4,5.4,-0.4909,0.06699,0.2862,6
6,4,7,5,5,3,4,5,3,2,1,2,2,2,"YER125W",3.3,4,-0.337,0.1192,0.3868,5.5
5,6,7,5,5,6,6,4,4,3,3,2,2,1,"YDR143C",3.7,4.7,-0.3967,0.04652,0.2228,5.75
7,4,3,6,3,4,5,6,5,7,8,5,6,7,"YPL049C",5.1,5.7,-0.1985,0.3605,0.6443,5
4,5,7,5,6,6,4,4,4,8,6,5,7,5,"YMR255W",5.3,5.6,-0.1235,0.5119,0.7398,5.25
6,6,4,5,6,3,7,5,7,4,4,6,3,2,"YPR062W",4.6,5.1,-0.2194,0.4193,0.6788,5.25
5,5,6,3,6,7,5,6,3,2,3,0,3,2,"YJR125C",4.1,3.9,0.04984,0.8485,0.9642,4.75
6,6,5,4,5,5,6,4,5,2,3,3,2,2,"YML092C",3.9,4.4,-0.251,0.2314,0.5443,5.25
8,6,4,7,5,3,3,4,2,0,1,2,1,0,"YGR080W",2.6,4,-0.6932,0.06519,0.2821,6.25
4,6,7,5,5,5,4,6,6,6,6,5,6,6,"YPR052C",5.3,5.7,-0.1602,0.1987,0.5108,5.5
4,5,4,5,4,2,5,6,5,1,1,1,2,1,"YJR017C",3,3.6,-0.3046,0.4452,0.7054,4.5
5,6,6,5,4,4,6,4,4,0,2,3,1,0,"YLR351C",3.1,4,-0.402,0.287,0.5814,5.5
8,3,6,5,3,4,4,5,4,2,3,3,3,3,"YJL159W",3.6,4.4,-0.3614,0.151,0.4406,5.5
6,5,4,4,4,5,5,4,5,7,4,7,5,2,"YML079W",4.6,5,-0.1771,0.4339,0.6928,4.75
6,5,6,5,5,5,5,4,5,3,4,5,5,5,"YFR003C",4.9,4.9,-0.04912,0.7051,0.8607,5.5
6,6,5,5,4,4,6,3,2,3,5,1,2,2,"YCL035C",3.1,4.6,-0.5927,0.02621,0.1623,5.5
6,5,6,3,6,5,4,3,4,2,4,2,3,2,"YHR020W",3.6,4.3,-0.3144,0.1821,0.4878,5
4,4,2,3,4,3,5,2,1,3,2,1,5,3,"YPL032C",3.3,2.7,0.2255,0.5247,0.7475,3.25
5,3,5,4,5,2,5,5,6,4,5,3,2,6,"YPL240C",4,4.6,-0.2409,0.3717,0.6534,4.25
6,4,5,5,3,4,4,5,5,4,1,2,3,4,"YIL015W",3.6,4.3,-0.3135,0.2244,0.5388,5
8,5,5,6,6,4,3,3,2,3,5,2,3,3,"YJR121W",3.4,4.9,-0.5538,0.03842,0.2026,6
7,5,3,4,4,5,4,3,1,1,2,1,3,4,"YCR084C",3.4,3.3,0.008727,0.9794,0.9845,4.75
5,4,3,6,4,5,4,2,3,4,5,4,5,5,"YMR314W",4.1,4.3,-0.09694,0.6598,0.842,4.5
5,6,4,5,4,5,4,4,3,1,1,0,0,2,"YMR108W",2.7,3.6,-0.451,0.1895,0.5008,5
2,5,4,3,4,4,2,4,2,3,2,1,1,2,"YGR189C",2.6,3,-0.2744,0.305,0.5986,3.5
2,3,4,3,5,5,5,6,3,2,1,3,1,3,"YPR041W",4,2.6,0.5854,0.03005,0.1744,3
5,6,3,4,5,2,2,2,2,2,4,3,1,2,"YJR139C",2.4,3.7,-0.6639,0.05712,0.2605,4.5
4,4,2,4,3,3,3,3,3,3,2,3,1,0,"YBR093C",2.3,3.1,-0.5106,0.1129,0.3792,3.5
4,4,4,6,4,5,4,4,1,1,1,1,1,0,"YOR120W",2.7,3,-0.2003,0.3162,0.6062,4.5
4,5,4,3,5,6,4,4,4,3,2,2,2,3,"YLL045C",3.7,3.6,0.005375,0.978,0.9845,4
6,4,4,5,3,4,4,3,6,7,8,3,8,8,"YBR011C",4.7,5.7,-0.3229,0.1586,0.4533,4.75
4,5,6,6,3,5,5,4,3,3,4,3,2,3,"YHR208W",3.6,4.4,-0.3614,0.03457,0.1897,5.25
5,4,5,5,4,4,5,6,4,6,3,4,4,6,"YCR028C-A",4.7,4.6,-0.004264,0.9801,0.9845,4.75
5,4,5,4,4,4,4,4,1,0,1,1,2,1,"YLR197W",2.9,2.9,-0.05532,0.8024,0.9354,4.5
5,5,4,6,4,2,6,2,3,3,2,3,0,2,"YCR004C",2.7,4,-0.6116,0.09078,0.3385,5
5,5,4,4,4,4,2,3,4,6,9,3,4,5,"YER030W",3.6,5.3,-0.6121,0.01417,0.1196,4.5
5,5,5,4,4,4,6,4,7,8,5,7,3,5,"YDR055W",4.7,5.6,-0.2879,0.1418,0.4273,4.75
6,3,5,6,3,3,5,6,7,8,6,7,5,5,"YDR098C-B (+20)",4.9,5.9,-0.3165,0.1288,0.4021,5
3,4,3,3,5,2,5,2,1,0,1,1,0,0,"YML074C",2.1,2.1,-0.05657,0.8861,0.9779,3.25
4,5,4,4,3,4,6,4,4,3,2,2,2,2,"YOR052C",3.3,3.7,-0.2283,0.2791,0.5797,4.25
5,4,5,4,4,5,5,4,4,4,3,4,2,1,"YIL063C",3.6,4.1,-0.2648,0.2102,0.5283,4.5
4,4,5,5,4,4,5,5,6,6,5,5,5,5,"YLR264W (+1)",4.7,5,-0.1322,0.163,0.4615,4.5
7,6,2,4,6,5,4,2,1,2,3,1,3,2,"YDL195W",3.3,3.6,-0.1731,0.6172,0.8059,4.75
5,4,2,3,5,3,5,1,3,3,2,1,1,0,"YIL135C",2.3,3.1,-0.5119,0.2402,0.5534,3.5
3,5,2,2,3,2,2,2,0,1,0,1,0,0,"YGL253W",1.4,1.9,-0.4354,0.3584,0.6434,3
4,5,4,3,6,5,3,4,1,0,1,0,1,0,"YDL051W",2.7,2.6,0.02096,0.9469,0.9818,4
3,3,4,3,3,5,4,5,2,1,1,2,3,2,"sp|P00441|SODC_HUMAN",3.4,2.4,0.4452,0.03676,0.1968,3.25
5,4,4,3,3,4,4,4,3,3,3,3,3,3,"YCL037C",3.4,3.6,-0.1088,0.3198,0.6081,4
4,2,2,1,4,6,5,3,0,0,1,3,5,3,"sp|P61769|B2MG_HUMAN",4.1,1.4,1.485,0.005105,0.0547,2.25
5,5,4,4,5,3,3,2,8,6,5,10,6,5,"YBR092C",4.9,5.3,-0.1669,0.4876,0.7398,4.5
5,3,5,3,5,2,1,3,1,2,2,0,0,0,"YDR293C",1.6,3,-0.9881,0.05041,0.2347,4
3,5,4,4,3,4,3,5,3,5,4,4,4,4,"YLR061W",3.9,4,-0.1006,0.5176,0.7433,4
7,2,2,2,1,1,3,1,1,2,1,1,1,1,"YJR009C",1.3,2.4,-0.9699,0.08612,0.3275,3.25
1,1,1,1,4,4,4,9,0,0,0,2,2,6,"sp|P69905|HBA_HUMAN",4.4,0.6,2.902,0.0002507,0.003936,1
3,5,5,3,4,5,4,5,5,5,5,6,5,6,"YDR378C",5,4.4,0.1282,0.2964,0.5896,4
3,4,4,4,4,5,3,3,0,0,0,0,1,0,"YBL092W",2.3,2.1,0.03484,0.9285,0.9779,3.75
4,3,3,4,5,4,4,3,0,1,1,1,0,0,"YER027C",2.4,2.3,0.03067,0.9196,0.9779,3.5
4,5,4,3,6,4,2,4,4,3,4,4,3,3,"YJL177W",3.7,3.9,-0.1036,0.6115,0.8022,4
5,4,4,3,3,5,3,4,1,2,3,0,1,1,"YMR124W",2.4,3.1,-0.4259,0.1766,0.4813,4
5,4,4,4,2,2,4,4,7,6,6,6,5,6,"YPR154W",4.1,5.1,-0.3571,0.0388,0.203,4.25
2,3,5,4,3,4,5,2,4,3,1,2,5,2,"YML100W",3.3,3.1,0.01453,0.9668,0.9845,3.5
2,2,2,1,5,4,7,7,0,0,0,5,1,3,"sp|P02741|CRP_HUMAN",4.6,1,2.139,0.0004298,0.006173,1.75
4,4,4,5,4,4,1,2,4,0,1,1,0,0,"YDL226C",1.7,3.1,-0.9291,0.1028,0.3634,4.25
9,3,1,2,4,1,4,4,6,7,6,4,6,6,"YJR094W-A (+1)",4.1,4.9,-0.2746,0.5037,0.7398,3.75
4,4,3,3,4,4,2,3,2,0,0,1,1,2,"YOR286W",2.4,2.3,0.03295,0.9254,0.9779,3.5
3,3,2,2,5,6,5,6,1,0,0,2,2,2,"sp|P01031|CO5_HUMAN",4,1.6,1.293,0.0001581,0.002884,2.5
4,3,3,1,2,5,3,3,1,1,2,2,2,1,"YBL051C",2.6,2.1,0.2108,0.502,0.7398,2.75
4,4,4,3,3,3,3,3,1,4,3,1,1,4,"YKL195W",2.6,3.3,-0.4042,0.2008,0.5115,3.75
5,6,3,5,4,3,3,2,2,1,3,1,1,1,"YJR093C",2.1,3.6,-0.7904,0.006222,0.06269,4.75
2,3,2,2,6,5,4,3,1,1,0,2,2,2,"sp|P51965|UB2E1_HUMAN",3.4,1.6,1.072,0.0007695,0.01039,2.25
4,3,3,3,2,4,2,1,0,1,1,0,0,1,"YNL309W",1.4,2.1,-0.641,0.1357,0.4163,3.25
4,4,4,4,3,2,4,4,2,2,2,1,1,2,"YBR252W",2.4,3.1,-0.4246,0.02833,0.1677,4
4,3,4,3,3,3,3,4,4,1,2,1,1,0,"YDR162C",2.1,3,-0.5382,0.15,0.4403,3.5
2,5,3,4,4,3,3,2,3,2,2,2,3,3,"YOR153W",2.9,3,-0.1203,0.6145,0.8038,3.5
4,2,3,3,2,2,4,3,2,1,2,1,2,1,"YDL185W",2.1,2.4,-0.2326,0.3847,0.6633,3
1,2,4,3,2,2,3,3,2,1,1,3,1,1,"YDR172W",2.1,2,0.04824,0.8932,0.9779,2.5
3,2,4,4,2,3,5,6,1,1,3,1,2,3,"YEL038W",3.1,2.6,0.2373,0.5023,0.7398,3.25
2,2,3,3,4,3,4,3,3,2,2,3,2,0,"YNL308C",2.7,2.4,0.1098,0.7174,0.8647,2.5
5,4,2,3,4,4,4,0,0,2,2,1,1,1,"YNL108C",2.1,2.6,-0.3168,0.4612,0.7228,3.5
4,3,5,4,4,2,3,4,3,3,4,1,3,2,"YGL023C",2.7,3.7,-0.5027,0.04109,0.207,4
4,3,4,3,3,2,4,4,1,4,1,4,1,2,"YHR200W",2.9,2.9,-0.05093,0.882,0.9779,3.5
4,3,4,4,4,2,3,3,1,1,0,1,1,1,"YML017W",2.1,2.4,-0.2357,0.3082,0.6031,3.75
2,4,3,4,4,2,4,3,2,0,0,1,0,1,"YML085C",2.1,2.1,-0.05573,0.8954,0.9779,3.25
3,3,3,3,3,3,4,4,5,5,6,5,5,5,"YOL127W",4.1,4,0.00519,0.9558,0.9844,3
1,3,5,3,3,2,3,2,1,0,1,0,0,0,"YMR261C",1.4,2,-0.5424,0.2471,0.5597,3
2,3,2,3,4,5,6,4,2,2,4,5,3,5,"sp|P63165|SUMO1_HUMAN",4.6,2.6,0.7815,0.002953,0.03497,2.5
3,4,3,3,3,4,3,4,2,0,0,0,0,1,"YIL053W",2.1,2.1,-0.05657,0.8996,0.9779,3.25
2,4,4,3,4,2,3,4,3,3,3,0,2,2,"YLR249W",2.4,3.1,-0.4227,0.1765,0.4813,3.25
1,2,1,2,3,3,2,2,4,3,2,3,4,3,"YOR096W",2.9,2.1,0.3696,0.1299,0.4021,1.5
4,5,3,4,4,4,1,3,0,3,3,2,1,3,"YGR196C",2.6,3.1,-0.3411,0.3432,0.6312,4
3,4,1,3,4,4,3,3,2,3,3,2,4,0,"YGL087C",2.9,2.7,0.02393,0.946,0.9818,2.75
4,3,6,3,3,3,2,4,4,5,3,3,3,4,"YNL312W",3.1,4,-0.396,0.08077,0.3188,4
4,3,2,3,4,3,4,4,3,3,3,2,3,3,"YNL183C",3.3,3,0.08186,0.6105,0.8022,3
1,2,2,2,3,2,3,4,1,0,0,0,0,0,"YPR171W",1.7,1.1,0.5271,0.3569,0.6434,1.75
4,4,3,3,3,3,2,3,10,8,8,9,7,8,"YOR294W",5,5.7,-0.235,0.05589,0.2566,3.5
4,5,4,4,3,3,3,2,4,0,0,2,1,1,"YKL067W",2.1,3,-0.5389,0.2258,0.5388,4.25
5,3,3,2,4,1,1,3,2,0,1,2,1,2,"YIL010W",2,2.3,-0.245,0.5785,0.7952,3.25
3,5,2,1,4,6,2,2,1,0,1,2,0,0,"YMR297W",2.3,1.9,0.2439,0.6554,0.8378,2.75
4,3,3,5,4,3,2,3,1,1,1,2,0,0,"YDR207C",2,2.6,-0.4177,0.256,0.5683,3.75
4,4,2,4,3,3,3,4,1,1,1,0,1,1,"YJR025C",2.1,2.4,-0.2357,0.3157,0.6062,3.5
3,1,4,5,3,2,3,2,0,0,0,0,0,0,"YPL180W",1.4,1.9,-0.4376,0.2105,0.5283,3.25
2,4,2,2,3,2,3,2,3,3,2,2,2,1,"YHR138C",2.1,2.6,-0.3122,0.2196,0.5388,2.5
3,4,4,2,3,3,3,2,1,2,1,1,1,1,"YLR027C",2,2.4,-0.3335,0.1087,0.3726,3.25
4,6,2,2,5,3,2,2,2,0,0,0,0,1,"YBR109C",1.9,2.3,-0.356,0.5297,0.7475,3.5
2,4,3,4,3,3,1,1,3,2,2,3,1,2,"YDR519W",2,2.9,-0.5641,0.09669,0.3509,3.25
2,4,2,4,4,4,4,2,1,2,2,1,2,2,"YDR156W",2.7,2.4,0.1084,0.6771,0.8449,3
5,2,3,2,4,3,4,4,3,5,3,5,4,4,"YGR169C-A",4,3.3,0.2365,0.2852,0.5814,3
1,1,3,3,2,1,3,2,2,1,1,3,0,1,"YPR187W",1.7,1.7,-0.05072,0.9163,0.9779,2
4,4,2,4,3,2,3,4,6,4,4,3,2,4,"YAL059W",3,4,-0.4624,0.05879,0.2628,3.5
4,3,4,3,3,3,3,3,2,1,1,1,1,2,"YDL083C (+1)",2.3,2.6,-0.2231,0.2253,0.5388,3.5
2,5,2,4,1,1,2,3,0,0,0,0,0,0,"YHR179W",1,1.9,-0.9522,0.03014,0.1744,3.25
2,2,3,3,2,3,2,3,1,1,1,1,1,0,"YPL231W",1.7,1.9,-0.1695,0.4855,0.7398,2.5
3,2,2,2,4,3,4,4,0,0,0,0,0,0,"sp|P01344|IGF2_HUMAN",2.1,1.3,0.6779,0.0003893,0.005713,2.25
3,2,1,4,1,2,3,3,2,0,0,0,1,1,"YGL222C",1.6,1.7,-0.1802,0.7392,0.8831,2.5
3,2,1,1,2,2,2,1,0,1,2,1,1,1,"YLR185W",1.4,1.4,-0.05155,0.8963,0.9779,1.75
3,2,4,3,3,1,4,2,0,0,0,0,0,0,"YMR120C",1.4,1.7,-0.3221,0.3166,0.6062,3
5,0,2,2,1,3,2,4,7,5,6,4,8,8,"YDR033W",4.3,3.9,0.1096,0.7683,0.9066,2.25
3,2,3,4,3,3,2,2,0,1,0,1,0,1,"YDL223C",1.7,1.9,-0.1715,0.6414,0.8278,3
2,2,4,2,3,4,2,4,0,1,0,1,0,0,"YLR429W",2,1.6,0.2909,0.508,0.7398,2.5
3,3,4,3,2,1,2,3,1,1,1,2,1,1,"YBL064C",1.7,2.3,-0.4679,0.105,0.3666,3.25
3,1,3,2,2,1,1,5,1,2,4,4,3,2,"YNL315C",2.6,2.3,0.1227,0.7835,0.9198,2.25
2,5,2,2,2,3,3,1,1,1,4,0,0,1,"YMR311C",1.4,2.4,-0.8181,0.1646,0.4615,2.75
4,4,2,2,3,2,1,1,0,0,0,0,0,0,"YBR049C",1,1.7,-0.8367,0.03105,0.1776,3
2,1,1,3,1,1,2,1,2,3,1,1,4,2,"YOR098C",1.7,1.9,-0.1615,0.7149,0.8647,1.75
3,2,3,4,1,1,2,4,1,0,0,1,1,0,"YCR087C-A",1.4,1.9,-0.4343,0.3923,0.666,3
2,4,2,4,3,5,2,1,2,0,1,1,1,1,"YMR305C",2,2.1,-0.1534,0.7157,0.8647,3
2,3,3,3,2,4,3,3,3,2,2,2,1,1,"YDL213C",2.3,2.6,-0.2209,0.3635,0.6443,2.75
3,3,4,2,3,2,2,3,1,1,1,1,1,1,"YOR078W",1.9,2.1,-0.2602,0.1483,0.4403,3
2,3,2,5,2,2,3,2,1,1,1,1,0,2,"YJL005W",1.7,2.1,-0.3754,0.3359,0.6246,3
2,3,3,3,2,2,2,2,1,1,1,2,2,1,"YJL121C",1.9,2,-0.1586,0.4975,0.7398,2.75
4,2,2,3,2,2,4,2,0,2,2,1,1,1,"YOR014W",1.9,2.1,-0.2593,0.4707,0.7304,2.75
5,5,1,2,3,3,2,2,3,2,2,3,2,0,"YLR330W",2.1,2.9,-0.4655,0.2653,0.5689,3.25
3,2,3,3,2,3,2,2,1,2,2,1,1,2,"YJR148W",1.9,2.3,-0.3509,0.1027,0.3634,2.75
1,4,3,1,4,2,3,4,1,1,1,0,1,1,"YPL160W",2.1,1.7,0.2675,0.4845,0.7398,2.25
4,3,2,2,3,3,2,2,2,2,4,2,3,2,"YNL216W",2.4,2.7,-0.2091,0.3977,0.6678,2.75
3,2,3,3,3,3,2,3,0,0,1,0,0,1,"YLR361C-A",1.7,1.7,-0.05699,0.8831,0.9779,2.75
4,1,3,3,2,2,3,3,2,1,1,2,2,2,"YBR085C-A",2.3,2.1,0.04212,0.8836,0.9779,2.75
1,2,2,3,3,3,3,3,2,1,1,0,1,2,"YLR219W",2.1,1.7,0.2694,0.4286,0.6904,2
1,4,2,2,2,4,3,1,0,1,1,1,1,1,"YPL127C",1.9,1.6,0.1872,0.6457,0.8302,2.25
3,2,2,2,2,1,1,1,1,0,1,1,0,1,"YGL187C",1,1.6,-0.7056,0.08637,0.3275,2.25
2,2,3,3,2,3,3,2,0,2,2,1,1,1,"YLR114C",1.9,2,-0.1595,0.5978,0.7959,2.5
2,2,2,3,1,2,4,2,1,1,1,0,0,0,"YGL148W",1.3,1.7,-0.4705,0.3156,0.6062,2.25
3,3,2,3,2,2,2,2,1,1,0,1,1,1,"YEL044W",1.6,1.9,-0.2949,0.2157,0.5334,2.75
3,3,2,3,3,1,2,2,1,2,2,2,2,3,"YDL092W",2.1,2.3,-0.1425,0.5865,0.7959,2.75
2,1,2,3,4,2,3,3,1,1,2,1,1,1,"YNR024W",2.1,1.7,0.2694,0.3694,0.6522,2
4,1,3,2,3,3,3,2,1,1,1,1,0,0,"YCL014W",1.7,1.9,-0.1705,0.639,0.8263,2.5
3,3,2,1,2,1,2,2,0,0,0,0,0,0,"YEL047C",1,1.3,-0.4216,0.1545,0.4456,2.25
2,2,2,3,2,3,2,0,1,0,0,0,0,0,"YOR362C",1,1.4,-0.5722,0.3445,0.6319,2.25
2,2,3,3,2,3,2,2,2,0,1,1,1,1,"YPR004C",1.7,1.9,-0.1685,0.5711,0.7883,2.5
2,3,3,3,2,2,1,0,3,2,2,2,4,3,"YLR410W",2,2.6,-0.4091,0.2692,0.5689,2.75
1,3,0,3,4,3,0,3,0,0,1,0,0,2,"YDR272W",1.7,1.1,0.5297,0.4815,0.7386,1.75
1,1,0,0,6,1,6,2,0,0,0,0,0,0,"sp|P10145|IL8_HUMAN",2.1,0.3,2.848,0.002256,0.02873,0.5
2,2,2,3,2,2,2,3,3,2,2,2,1,2,"YER034W",2,2.3,-0.2417,0.2557,0.5683,2.25
2,2,2,2,3,2,2,4,0,1,2,1,0,1,"YHR009C",1.9,1.6,0.1872,0.6427,0.8279,2
2,2,3,2,2,2,3,3,2,0,1,1,0,1,"YKR090W",1.7,1.7,-0.05385,0.8856,0.9779,2.25
2,2,2,3,2,3,2,2,1,1,1,0,0,1,"YPL129W",1.4,1.7,-0.3176,0.3131,0.6062,2.25
4,3,2,2,2,2,2,2,0,0,0,0,0,0,"YER057C",1.1,1.6,-0.5185,0.02422,0.1542,2.75
4,3,2,2,2,2,3,2,2,3,2,2,4,3,"YMR194W",2.6,2.6,-0.04793,0.8511,0.9655,2.75
3,3,2,1,2,2,2,2,1,1,1,1,1,1,"YNL244C",1.6,1.7,-0.1781,0.3882,0.6633,2.25
2,3,2,0,3,2,2,1,1,1,1,1,2,1,"YPL262W",1.7,1.4,0.2119,0.5908,0.7959,1.75
3,3,2,2,4,3,2,1,1,1,1,0,1,0,"YPL061W",1.6,1.9,-0.2959,0.4439,0.705,2.5
2,1,3,3,1,1,3,4,1,1,1,1,1,1,"YDR471W (+1)",1.7,1.7,-0.05281,0.8895,0.9779,2.25
3,3,2,2,1,0,2,1,1,0,0,1,0,0,"YGR186W",0.7,1.6,-1.193,0.07578,0.3027,2.5
3,2,2,3,2,1,2,2,1,2,1,1,0,1,"YGR081C",1.3,2,-0.69,0.03211,0.1821,2.5
2,1,3,2,1,2,3,2,2,2,2,2,2,2,"YJL128C",2,2,-0.04833,0.8412,0.9601,2
2,3,2,3,2,3,2,1,1,2,2,2,2,2,"YBR089C-A",2,2.1,-0.1491,0.5252,0.7475,2.5
2,3,3,3,2,1,1,2,2,1,1,1,0,1,"YHR019C",1.1,2.1,-0.9594,0.006884,0.06638,2.75
3,3,1,3,2,1,1,3,2,4,6,4,4,6,"YLR327C",3,3.1,-0.111,0.7358,0.8806,2.5
3,3,3,1,4,2,2,1,0,0,1,1,0,0,"YGL139W",1.4,1.6,-0.1942,0.7088,0.8621,2.5
3,3,2,1,2,1,2,1,2,2,3,2,1,2,"YKL122C",1.6,2.3,-0.5885,0.0495,0.2326,2.25
2,3,2,2,2,3,2,0,2,2,2,2,2,1,"YML007W",1.7,2.1,-0.3708,0.2535,0.5667,2.25
2,2,3,2,2,2,2,3,1,1,0,1,1,0,"YCR077C",1.6,1.6,-0.05452,0.8603,0.9718,2.25
2,4,1,2,3,2,2,2,1,1,1,0,0,1,"YDR045C",1.4,1.7,-0.3176,0.4174,0.6788,2.25
1,3,2,2,2,3,2,1,1,2,3,2,3,4,"YKR042W",2.4,2,0.2332,0.4671,0.7281,2
4,3,2,1,2,2,2,2,0,2,2,2,0,2,"YPL105C",1.7,2,-0.2738,0.5263,0.7475,2.5
2,2,3,3,1,2,2,3,4,3,5,6,5,5,"YNL178W",3.4,3.1,0.08172,0.7069,0.8612,2.5
1,3,1,1,2,3,1,1,0,1,1,0,1,0,"YNL066W",1.1,1.1,-0.05438,0.9234,0.9779,1.5
1,1,2,3,2,1,1,1,2,1,2,2,2,2,"YHR132W-A",1.6,1.7,-0.1726,0.6043,0.8013,1.75
1,2,1,3,3,3,3,1,0,0,0,0,0,0,"YDR233C",1.4,1,0.4555,0.2319,0.5443,1.75
1,3,2,1,1,1,3,2,1,0,1,0,0,0,"YDR251W",1,1.3,-0.4185,0.4762,0.7373,1.75
3,3,1,2,3,1,1,1,0,1,1,1,0,1,"YEL056W",1.1,1.6,-0.5132,0.2875,0.5814,2.25
0,3,3,1,2,3,2,1,2,4,4,3,4,3,"YML010W",2.6,2.4,0.03772,0.9158,0.9779,1.75
5,2,3,0,0,2,0,1,0,0,0,0,0,0,"YGL008C (+1)",0.4,1.4,-1.796,0.04099,0.207,2.5
2,3,3,1,2,3,2,2,2,0,0,0,0,0,"YGR094W",1.3,1.6,-0.3461,0.5961,0.7959,2.25
2,2,2,3,2,2,2,2,1,0,1,1,1,0,"YER006W",1.4,1.6,-0.1918,0.5331,0.7475,2.25
2,2,2,3,3,2,1,2,1,2,2,2,2,2,"YGR240C",2,2,-0.04922,0.8286,0.9567,2.25
